lprn,lsf,unitsftc,bathstot,roomsn,sfan,sfdn,cencityn,urbsubn,urbann,riuraln,agelt5,age510,age1015,agegte30,inadeq,degreen,s87,s88,s89,s90,s91,s92,s93,verylg,large,siz1to3,small,prvlocn,firbuy,incbuy,incsell,qbusb,qbusn,agen,ageb,blkbuy,blksell,marbuy,marsell,sfbuy,sfsell,edubuy,edusell,kidbuy,kidsell,cenind,saltotbt,saltotnt
9.66148,6.813445,0,1,4,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4000,22500,0,0,46,26,0,0,0,1,0,0,0,0,1,0,0,0,0
9.680407,7.972466,0,3,9,0,1,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,95000,65000,0,0,51,54,0,0,1,1,0,0,1,0,0,0,0,0,0
9.711176,6.597146,0,1,4,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,15000,0,0,0,25,88,0,0,0,0,1,1,0,0,0,0,0,0,0
9.741028,6.704414,0,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,33000,7500,0,0,24,69,0,0,1,0,0,0,0,0,0,0,0,0,0
9.741028,6.152733,0,2,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,16000,0,0,0,25,25,1,1,1,0,0,1,0,0,1,1,0,0,0
9.798182,7.090077,0,2,5,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,70,30,0,0,1,1,0,0,1,0,0,1,0,0,0
9.798182,7.185387,0,1.5,5,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,16500,30000,0,0,24,28,0,0,1,1,0,0,0,0,1,1,0,0,0
9.82558,7.714231,0,2,7,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13000,16000,0,0,45,34,0,0,1,0,0,0,0,0,0,1,0,0,0
9.82558,8.294049,1,2.5,10,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,81000,19000,0,1,54,42,0,0,0,0,0,1,1,1,0,0,0,0,0
9.82558,6.733402,0,1,6,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,34000,26000,0,0,43,27,0,0,1,1,0,0,0,0,0,1,0,0,0
9.82558,6.896694,0,1,5,0,1,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72,91,0,0,0,0,1,0,0,0,0,0,0,0,0
9.82558,6.733402,0,1,4,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,14700,30000,0,0,28,25,0,0,1,1,0,0,0,0,1,1,0,0,0
9.852247,8.119697,0,2,7,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,25000,20044,0,1,33,36,0,0,1,1,0,0,0,1,1,1,0,0,0
9.852247,6.802395,0,2,4,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,30000,24000,0,0,27,29,0,0,1,1,0,0,0,0,1,0,0,0,0
9.903538,6.866933,0,1,4,0,1,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,21000,5400,0,0,35,33,0,0,0,0,0,1,0,0,0,1,0,0,0
9.903538,7.130899,0,1,5,0,1,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,14200,35750,0,0,47,34,0,0,0,1,1,0,0,1,1,1,0,0,0
9.903538,6.39693,0,2,4,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46,89,0,0,0,0,1,1,0,0,0,0,0,0,0
9.952325,7.272398,0,2,5,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,18500,0,0,0,28,61,0,0,0,0,0,1,0,0,0,0,0,0,0
9.952325,7.965546,0,1,10,0,1,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,30000,77000,0,0,35,33,0,0,1,0,0,0,0,0,1,0,0,0,0
9.975855,6.927558,0,1.5,6,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,40000,0,0,0,37,65,0,0,1,1,0,0,0,0,1,0,0,0,0
9.975855,6.981006,0,1,4,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,18000,6000,0,0,28,50,0,0,0,1,0,0,0,0,0,0,0,0,0
10.04329,6.55108,0,1,5,0,1,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1950,10663,0,0,51,53,0,0,1,0,0,0,0,0,0,1,0,0,0
10.08585,7.090077,0,1,6,0,1,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,5000,0,0,0,40,56,0,0,1,1,0,0,0,0,1,0,0,0,0
10.12667,6.856462,0,1,7,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,21000,35000,0,0,41,32,0,0,0,1,0,0,0,0,1,0,0,0,0
10.12667,6.956545,0,1,5,0,1,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,8000,6500,0,0,28,26,0,0,1,0,0,0,0,0,0,0,0,0,0
10.12667,6.802395,0,1,6,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,26000,1,1,45,39,0,0,1,0,0,1,0,1,1,1,0,0,0
10.12667,7.090077,0,1.5,5,0,1,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,20000,0,0,1,36,32,0,0,1,0,0,1,1,0,0,0,0,0,0
10.12667,6.887553,0,1,5,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,20000,8000,1,0,32,31,0,0,1,1,0,0,0,0,1,1,0,0,0
10.12667,6.802395,0,1.5,4,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,20800,19656,0,0,55,53,0,0,1,1,0,0,0,0,1,0,0,0,0
10.16589,6.664409,0,2,5,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,19100,10650,0,0,43,20,0,0,1,1,0,0,0,0,1,1,0,0,0
10.16589,7.013916,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,20000,10000,0,0,34,68,0,0,1,1,0,0,0,0,1,0,0,0,0
10.16589,7.387709,0,1.5,5,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,34900,12000,0,0,32,60,0,0,1,0,0,1,0,0,0,0,0,0,0
10.18494,6.684612,0,1,4,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,13800,15000,0,0,26,53,0,0,1,0,0,0,0,0,0,0,0,0,0
10.19992,7.090077,0,1,6,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,31000,30000,0,0,27,28,0,0,1,1,0,0,0,0,1,0,0,0,0
10.20363,7.774856,0,1,7,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,22000,12000,0,0,27,21,0,0,1,1,0,0,0,0,1,1,0,0,0
10.20363,7.130899,0,1.5,5,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,25600,10000,0,0,40,28,1,1,0,0,0,0,0,0,1,0,0,0,0
10.20363,6.907755,0,1,6,0,1,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,34000,0,0,0,40,73,0,0,0,0,0,1,1,1,0,0,0,0,0
10.20363,6.887553,0,1,4,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6657,0,0,73,39,0,0,1,0,0,1,0,0,0,0,0,0,0
10.20363,7.336937,0,1,4,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,80,81,0,0,1,0,0,1,0,0,0,0,0,0,0
10.23821,7.057037,0,1,6,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,33700,0,0,0,41,75,0,0,1,0,0,1,0,0,1,0,0,0,0
10.24,7.377759,0,1,8,0,1,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,34000,23200,0,0,37,31,0,0,1,1,0,0,0,1,1,1,0,0,0
10.24,7.096721,0,1,6,0,1,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,20800,22600,0,0,43,40,0,0,1,1,0,0,0,0,1,1,0,0,0
10.24,6.907755,0,1,5,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,14000,15000,0,0,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0
10.24,7.313221,0,1,5,0,1,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,12500,4800,0,0,36,64,0,0,1,1,0,0,0,0,0,1,0,0,0
10.27509,6.214608,0,1,4,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,31,69,0,0,1,0,0,1,0,0,1,0,0,0,0
10.29218,7.20786,0,2,5,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,8500,40000,0,0,35,35,0,0,1,1,0,0,0,1,0,1,0,0,0
10.30899,7.575585,0,1.5,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13000,40000,0,0,28,38,0,0,0,1,0,0,0,0,0,1,0,0,0
10.30899,7.783224,0,2,7,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,14000,2750,1,0,48,80,0,0,1,0,0,0,0,0,1,1,0,0,0
