seqno,grade,sex,race,bilingual,bil,lunch,income,sn,sped,absent1,absent2,present1,present2,v15,v16,v17,passfail,sat_00_m,v19,v20,v21,sat_00_r,v23,v24,sat1m,sat_01_m,v27,v28,sat1r,sat_01_r,spr00plm,mcas00m,spr00ple,mcas00e,spr01plm,mcas01m,spr01ple,mcas01e,fa01plm,mcasfama,fa01ple,mcasfael,sch
15449,6,M,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,50,2,646,5,14,1,611,F,206,NI,220, , , , , , , , ,2200
15450,6,M,Hispanic, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,26,1,624,5,34,2,638,NI,230,F,214, , , , , , , , ,2110
15451,6,M,Hispanic, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,24,1,622,5,18,1,616,NI,230,F,218, , , , , , , , ,2170
15452,11,F,Hispanic,S,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1040
15453,7,M,Hispanic, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2050
15454,6,M,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,80,3,677,5,27,2,630,NI,230,NI,222, , , , , , , , ,2130
15455,7,F,Black, ,No,AF,1, ,0, , , , ,5,61,2,1,656,5,66,3,670,6,61,2,667,6,44,2,657, , , , ,W,218, , , , , , ,2030
15456,8,F,Hispanic,S,Yes,DC,1, ,0, , , , ,6,36,1,0,643,6,14,1,621,7,36,1,658,7,18,1,643, , , , , , ,W,216, , , , ,2040
15457,11,F,Hispanic,S,Yes,AF,1, ,0, , , , ,9,16,1,0,652,9,4,1,633, , , , , , , , , , , , ,F,214,F,216, , , , ,1040
15458,8,M,Black, ,No,AF,1, ,0, , , , ,6,38,1,0,645,6,68,3,681,7,57,2,677,7,60,2,691, , , , , , ,P,246, , , , ,2170
15459,6,F,Hispanic, ,No,AR,2, ,0, , , , , , , , , , , , , ,5,68,2,663,5,29,2,632,F,218,NI,230, , , , , , , , ,2170
15460,8,F,Hispanic, ,No,AR,2, ,0, , , , , , , , , , , , , ,7,18,1,638,7,22,2,649, , , , , , ,NI,220, , , , ,2170
15461,7,F,White, ,No,DC,1, ,0, , , , ,5,68,2,1,663,5,76,3,681,6,28,1,635,6,93,3,716, , , , ,NI,222, , , , , , ,2170
15462,11,M,Hispanic,S,Yes,AF,1, ,0, , , , ,9,58,2,1,694,9,2,1,618,10,37,1,689, , , , , , , , ,NI,226,F,214, , , , ,1040
15463,8,F,Hispanic,S,Yes,AF,1, ,0, , , , ,6,38,1,0,645,6,30,2,643, , , , , , , , , , , , , , , , , , , , ,2050
15464,8,M,Black, ,No,O,2, ,0, , , , ,7,32,1,0,654,7,33,2,663,8,62,2,691,8,22,2,659, , , , ,NI,220,W,218, , , , ,2040
15465,6,M,Hispanic,S,Yes,AR,2,A4,4, , , , , , , , , , , , , ,5,19,1,614,5,24,2,626,F,216,F,212, , , , , , , , ,2130
15466,11,F,Hispanic, ,No,AF,1, ,0, , , , ,9,81,2,1,721,9,44,2,695, , , , , , , , , , , , ,NI,230,NI,220, , , , ,1070
15467,11,M,White, ,No,AF,1, ,0, , , , ,9,96,3,1,758,9,49,2,700, , , , , , , , , , , , ,P,256,NI,238, , , , ,1020
15468,8,F,Hispanic,S,Yes,AF,1, ,0, , , , ,6,19,1,0,623,6,7,1,606, , , , , , , , , , , , , , , , , , , , ,2050
15469,6,M,Black, ,No,DC,1, ,0, , , , , , , , , , , , , ,5,58,2,653,5,47,2,651,F,218,NI,224, , , , , , , , ,2190
15470,6,F,Hispanic,S,Yes,AF,1, ,0, , , , , , , , , , , , , ,5,7,1,592,5,22,2,622,LEP, ,INC, , , , , , , , , ,2130
15471,7,F,Hispanic,S,Yes,AF,1, ,0, , , , ,5,6,1,0,588,5,1,1,566,6,7,1,600,6,1,1,583, , , , ,W,206, , , , , , ,2130
15472,11,F,Hispanic,S,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,218,F,218, , , , ,1070
15473,6,F,White, ,No,O,3,S2,2, , , , ,5,54,2,1,649,5,34,2,638,6,30,1,637,6,32,2,645, , , , ,W,216, , , , , , ,2110
15474,11,F,Black, ,No,O,3, ,0, , , , ,9,92,3,1,742,9,93,4,757, , , , , , , , , , , , ,NI,236,P,250, , , , ,1020
15475,11,F,Black, ,No,O,3, ,0, , , , ,9,83,2,1,725,9,47,2,698,10,52,1,699, , , , , , , , ,NI,230,NI,224, , , , ,1040
15476,7,M,Black, ,No,DC,1,B4,4, , , , ,5,26,1,0,624,5,45,2,649, , , , , , , , , , , , ,P,252, , , , , , ,2100
15477,6,M,Black, ,No,DC,1,F4,4, , , , , , , , , , , , , ,5,3,1,578,5,2,1,572,F,200,F,200, , , , , , , , ,2110
15478,6,F,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,56,2,651,5,78,3,685,NI,230,NI,228, , , , , , , , ,2110
15479,11,F,Black, ,No,O,3, ,0, , , , , , , , , , , , , ,11,75,2,724,11,62,2,720,F,216,NI,232, , , , , , , , ,1030
15480,7,F,Black, ,No,IH,2, ,0, , , , ,5,16,1,0,610,5,43,2,647,6,23,1,629,6,63,2,676, , , , ,W,218, , , , , , ,2110
