ccoder,year,countryname,ccode,polity2r,agree3un,HR,lnmanpower,leaidc,lmaidc,lgdppcc,lpop,lgdpc,lexportc,rg1,rg2,rg3,rg4,rg5,terr,POTUS,USSenate,USHouse,USunempl,USgrowth,USinflation
500,1992,"Uganda",500,-7,0.25,3,1.94591014905531,18.0557613372803,12.7098293304443,5.30505847930908,16.7487525939941,22.0538101196289,16.8239765167236,1,0,0,0,0,0,1,0,0,7.49166666666667,3.52244052740502,3
500,1993,"Uganda",500,-4,0.307017534971237,3,1.94591014905531,18.0129737854004,13.5833072662354,5.35143613815308,16.7823524475098,22.1337890625,17.0914688110352,1,0,0,0,0,0,0,0,0,6.90833333333333,2.75178105096643,3
500,1994,"Uganda",500,-4,0.363636374473572,3,2.39789527279837,17.7629337310791,11.8484792709351,5.38056612014771,16.8152923583984,22.195858001709,17.2292404174805,1,0,0,0,0,0,0,0,0,6.1,4.02879325991903,2.6
500,1995,"Uganda",500,-4,0.297468364238739,3,2.07944154167984,17.6957168579102,11.6664524078369,5.45731115341187,16.8476104736328,22.3049201965332,16.7379970550537,1,0,0,0,0,0,0,1,1,5.59166666666667,2.68421727207786,2.8
500,1996,"Uganda",500,-4,0.356164395809174,4,2.30258509299405,17.3616142272949,15.1485605239868,5.51249933242798,16.8792610168457,22.3917598724365,16.5239200592041,1,0,0,0,0,0,0,1,1,5.40833333333333,3.77256549921414,2.9
500,1997,"Uganda",500,-4,0.3046875,4,1.79175946922806,17.8809642791748,15.1583185195923,5.53111457824707,16.9103870391846,22.4415016174316,17.2647895812988,1,0,0,0,0,0,0,1,1,4.94166666666667,4.44717494524525,2.3
500,1998,"Uganda",500,-4,0.310344815254211,4,1.94591014905531,18.1489295959473,15.145432472229,5.54797649383545,16.9414138793945,22.4893894195557,17.0913772583008,1,0,0,0,0,0,0,1,1,4.5,4.48139443155316,1.6
500,1999,"Uganda",500,-4,0.347222208976746,4,1.94591014905531,18.1884937286377,12.6801309585571,5.59400749206543,16.972843170166,22.5668506622314,17.1218185424805,1,0,0,0,0,0,0,1,1,4.21666666666667,4.79449904467508,2.2
500,2000,"Uganda",500,-4,0.325757563114166,4,1.79175946922806,18.1967315673828,12.468204498291,5.59280204772949,17.0049839019775,22.597785949707,17.147481918335,1,0,0,0,0,0,0,1,1,3.96666666666667,4.07715947941618,3.4
500,2001,"Uganda",500,-4,0.255813956260681,4,2.30258509299405,18.5299072265625,NA,5.61042213439941,17.0379009246826,22.648323059082,17.4569911956787,1,0,0,0,0,0,1,0,1,4.74166666666667,0.954338728708379,2.8
500,2002,"Uganda",500,-4,0.181159421801567,4,2.07944154167984,18.6104564666748,NA,5.66061639785767,17.0714302062988,22.7320461273193,17.1343421936035,1,0,0,0,0,1,1,0,1,5.78333333333333,1.69594292274957,1.6
500,2003,"Uganda",500,-4,0.254385977983475,4,2.07944154167984,19.2145957946777,14.1254444122314,5.68942403793335,17.1053447723389,22.7947692871094,17.7971954345703,1,0,0,0,0,1,1,1,1,5.99166666666667,2.7962091006717,2.3
500,2004,"Uganda",500,-4,0.235294118523598,4,2.484906649788,19.2555027008057,14.8596124649048,5.721266746521,17.1393585205078,22.8606243133545,18.0382308959961,1,0,0,0,0,1,1,1,1,5.54166666666667,3.85255260064351,2.7
500,2005,"Uganda",500,-1,0.238805964589119,4,2.484906649788,19.4794158935547,14.6383695602417,5.74875259399414,17.1732730865479,22.922025680542,17.9506778717041,1,0,0,0,0,1,1,1,1,5.08333333333333,3.48322032025258,3.4
500,2006,"Uganda",500,-1,0.293650805950165,4,2.39789527279837,19.4762687683105,12.8747777938843,5.81740379333496,17.2070407867432,23.0244445800781,17.7941970825195,1,0,0,0,0,1,1,1,1,4.60833333333333,2.78281062584327,3.2
500,2007,"Uganda",500,-1,0.180000007152557,4,2.19722457733622,19.6449584960938,12.7598581314087,5.86450862884521,17.2407093048096,23.1052169799805,18.1065921783447,1,0,0,0,0,1,1,0,0,4.61666666666667,2.01050755163328,2.9
500,2008,"Uganda",500,-1,0.181159421801567,3,2.30258509299405,19.7523822784424,13.139328956604,5.91441011428833,17.2743091583252,23.188720703125,18.0916728973389,1,0,0,0,0,1,1,0,0,5.8,0.122188442974647,3.8
