firmid,year,kod2,kod3,kod4,r,ec,cc,h,h_interp,c1,c2,c3,c4,c5,k1,k2,k3,f1,f2,f3,f4,f5,lagk1,lagk2,lagk3,lagf1,lagf2,lagf3,lagf4,lagf5,lc,va,lc_was_fixed
"94028360",2019,"55","551","5510",8942,180319,-171377,3,3,50,0,0,0,0,5826671,0,278939,2814882,0,2757361,0,6105610,5821636,0,271498,2635846,0,2551294,0,6093134,22309.381443299,-149067.618556701,"FALSE"
"94028487",2019,"55","551","5510",18304464,12808369,5496095,25,25,50,0,0,0,0,46528406,83931,3857868,0.0199390514552435,0.205299843072457,390031,887228,50470205,38433247,97066,2744792,21082160,13982500,396269,2337005,41275105,357827.27823072,5853922.27823072,"FALSE"
"94028579",2019,"55","551","5510",1549041,1267113,281928,30,30,47,1,0,0,0,1622711,10366,880759,0.492817724226315,0.207678239340039,29956,0,2513836,1591971,10507,945514,2237527,0,30842,0,2547992,429392.733876864,711320.733876864,"FALSE"
"94028592",2019,"55","551","5510",1038523,739824,298699,NA,NA,67,0,0,0,0,359783,5463,1000218,1252505,0,12949,0,1365464,383008,6571,1142053,1346622,0,99667,0,1531632,NA,NA,NA
"94028660",2019,"55","551","5510",691204,392885,298319,0,0,49,1,0,0,0,3542536,2569147,727211,4377193,0,0,0,6838894,2659051,3279831,801040,4409594,0,0,0,6739922,0,298319,"FALSE"
"94028715",2019,"55","551","5510",1377147,1012041,365106,NA,NA,64,0,0,0,0,7115531,5130,2227330,3676418,3315826,0,1317249,9347991,7181555,5046,2223045,3576524,3470388,0,1316060,9409646,NA,NA,NA
"94029183",2019,"55","551","5510",81996,77228,4768,NA,NA,49,1,0,0,0,54323,0,406099,51133,0,32793,0,460422,57575,0,432258,51178,0,39680,0,489833,NA,NA,NA
"94029320",2019,"55","551","5510",399236,397785,1451,NA,NA,50,0,0,0,0,1076432,1304,190708,1219842,0,0,0,1268444,1118909,1415,195319,1269392,0,0,0,1315643,NA,NA,NA
"94029459",2019,"55","551","5510",483525,461297,22228,11,11,50,0,0,0,0,1916721,637,586905,0.387524076904944,0.000582758920998581,4386,196519,2504263,1939361,278,450873,2184053,0,4386,202073,2390512,157444.002421517,179672.002421517,"FALSE"
"94029484",2019,"55","551","5510",8256154,6904919,1351235,7,7,50,0,0,0,0,11874555,35947,3696025,0.578274428241261,0.0446239318790551,172137,2892121,15606527,11888919,77242,4222777,5358233,4132326,268503,2958822,16188938,52055.2233676976,1403290.2233677,"FALSE"
"94029503",2019,"55","551","5510",1346509,768533,577976,NA,NA,49,1,0,0,0,438771,2184,1386036,1401067,0,0,145293,1826991,435391,2096,1123978,1329238,0,0,0,1561465,NA,NA,NA
"94029620",2019,"55","551","5510",302521,220733,81788,NA,NA,49,1,0,0,0,234651,0,38256,161203,0,0,0,272907,274758,0,38150,161203,0,0,0,312908,NA,NA,NA
"94029712",2019,"55","551","5510",38722837,27310461,11412376,450,450,49,1,0,0,0,43659445,508394,21275168,0.125982942487951,0.318594744706197,2187359,0,65443007,43619365,496215,18887612,51220159,0,1920367,0,63003192,6440891.00815296,17853267.008153,"FALSE"
"94029982",2019,"55","551","5510",127371,109943,17428,NA,NA,48,1,0,0,0,1078101,0,455032,1116576,0,13569,0,1533133,1225381,3100,327278,1112973,0,13569,0,1555759,NA,NA,NA
"94030366",2019,"55","551","5510",621892,483482,138410,NA,NA,50,0,0,0,0,1102985,4557,536660,1553305,0,0,0,1644202,1134337,5215,416703,1475509,0,0,1536,1556255,NA,NA,NA
"94030446",2019,"55","551","5510",497172,542324,-45152,0,0,50,0,0,0,0,1461163,0,435721,989038,140000,22723,304429,1896884,1335688,701,276620,1041417,70000,30159,167258,1613009,0,-45152,"FALSE"
"94030538",2019,"55","551","5510",55000,260439,-205439,0,0,48,1,0,0,0,367535,0,230862,-17218,0,0,0,598397,411468,0,224480,232154,0,0,0,635948,0,-205439,"FALSE"
"94030680",2019,"55","551","5510",3628878,3004584,624294,49,49,48,1,0,0,0,4384394,23478,1320139,0.296110067885871,0.313558072724551,2992,113256,5728011,4618427,23113,867824,3987129,801802,7134,113256,5509364,701341.465332212,1325635.46533221,"FALSE"
"94030723",2019,"55","551","5510",2704639,2125362,579277,47,47,48,1,0,0,0,3023666,16481,2091305,0.545118645405436,0.157177742093857,0,1979,5131452,3141600,16547,2119685,4705105,0,0,1149,5277832,672715.283073754,1251992.28307375,"FALSE"
"94030827",2019,"55","551","5510",4859997,4130010,729987,18,18,48,1,0,0,0,18084298,64294,695959,0.559396464431034,0.0273255491098082,6654546,506505,18844551,19214927,91833,617054,-8266735,18960778,7187204,614109,19923814,257635.640326119,987622.640326119,"FALSE"
"94030890",2019,"55","551","5510",4321776,3359140,962636,14,14,48,1,0,0,0,6207407,0,614608,0.062238476531658,0.277993226863516,15951,355476,6822015,6251575,0,556293,6238752,0,15951,355440,6807868,200383.275809203,1163019.2758092,"FALSE"
"94030956",2019,"55","551","5510",13239726,6026875,7212851,100,100,48,1,0,0,0,9640618,101390,5096708,7.19995911649996e-005,0.0459333100667318,470170,0,14838716,9533654,97052,3945074,11739335,0,474585,0,13575780,1431309.11292288,8644160.11292288,"FALSE"
"94031001",2019,"55","551","5510",649546,526388,123158,0,0,49,1,0,0,0,679408,0,373773,709614,0,0,79467,1053181,676594,0,578665,619851,0,0,0,1255259,0,123158,"FALSE"
